date,time,CB2.2
1/1/00,0:00,0
1/1/00,1:00,0.16638
1/1/00,2:00,0.10644
1/1/00,3:00,1.22634
1/1/00,4:00,1.52012
1/1/00,5:00,1.15219
1/1/00,6:00,1.01397
1/1/00,7:00,1.39512
1/1/00,8:00,1.92014
1/1/00,9:00,2.12529
1/1/00,10:00,2.95463
1/1/00,11:00,3.15546
1/1/00,12:00,3.19309
1/1/00,13:00,3.23668
1/1/00,14:00,3.24681
1/1/00,15:00,3.16921
1/1/00,16:00,3.12723
1/1/00,17:00,3.11034
1/1/00,18:00,3.14089
1/1/00,19:00,3.24893
1/1/00,20:00,3.35006
1/1/00,21:00,3.37579
1/1/00,22:00,3.37123
1/1/00,23:00,3.2772
1/2/00,0:00,3.13706
1/2/00,1:00,3.10725
1/2/00,2:00,3.15251
1/2/00,3:00,3.19781
1/2/00,4:00,3.21271
1/2/00,5:00,3.17365
1/2/00,6:00,3.11248
1/2/00,7:00,3.13215
1/2/00,8:00,3.25165
1/2/00,9:00,3.33743
1/2/00,10:00,3.37555
1/2/00,11:00,3.39394
1/2/00,12:00,3.39356
1/2/00,13:00,3.38322
1/2/00,14:00,3.34961
1/2/00,15:00,3.29
1/2/00,16:00,3.2595
1/2/00,17:00,3.27624
1/2/00,18:00,3.33083
1/2/00,19:00,3.37945
1/2/00,20:00,3.42288
1/2/00,21:00,3.4503
1/2/00,22:00,3.4422
1/2/00,23:00,3.40639
1/3/00,0:00,3.3372
1/3/00,1:00,3.25606
1/3/00,2:00,3.19791
1/3/00,3:00,3.17166
1/3/00,4:00,3.16667
1/3/00,5:00,3.17
1/3/00,6:00,3.17272
1/3/00,7:00,3.16894
1/3/00,8:00,3.16073
1/3/00,9:00,3.15924
1/3/00,10:00,3.16803
1/3/00,11:00,3.18176
1/3/00,12:00,3.18109
1/3/00,13:00,3.17431
1/3/00,14:00,3.18921
1/3/00,15:00,3.18376
1/3/00,16:00,3.19312
1/3/00,17:00,3.20307
1/3/00,18:00,3.20421
1/3/00,19:00,3.19828
1/3/00,20:00,3.21542
1/3/00,21:00,3.23999
1/3/00,22:00,3.25309
1/3/00,23:00,3.26166
1/4/00,0:00,3.26423
1/4/00,1:00,3.25155
1/4/00,2:00,3.22365
1/4/00,3:00,3.21696
1/4/00,4:00,3.21822
1/4/00,5:00,3.22366
1/4/00,6:00,3.23082
1/4/00,7:00,3.23763
1/4/00,8:00,3.24023
1/4/00,9:00,3.23627
1/4/00,10:00,3.23248
1/4/00,11:00,3.23406
1/4/00,12:00,3.24037
1/4/00,13:00,3.24015
1/4/00,14:00,3.23521
1/4/00,15:00,3.23432
1/4/00,16:00,3.2377
1/4/00,17:00,3.24559
1/4/00,18:00,3.25295
1/4/00,19:00,3.25206
1/4/00,20:00,3.24307
1/4/00,21:00,3.24018
1/4/00,22:00,3.24557
1/4/00,23:00,3.24929
1/5/00,0:00,3.24731
1/5/00,1:00,3.24269
1/5/00,2:00,3.24231
1/5/00,3:00,3.25438
1/5/00,4:00,3.26865
1/5/00,5:00,3.26723
1/5/00,6:00,3.26026
1/5/00,7:00,3.26781
1/5/00,8:00,3.25536
1/5/00,9:00,3.28121
1/5/00,10:00,3.30217
1/5/00,11:00,3.29536
1/5/00,12:00,3.29206
1/5/00,13:00,3.29735
1/5/00,14:00,3.25943
1/5/00,15:00,3.00165
1/5/00,16:00,2.64724
1/5/00,17:00,2.37937
1/5/00,18:00,2.17598
1/5/00,19:00,2.04841
1/5/00,20:00,2.03267
1/5/00,21:00,2.19409
1/5/00,22:00,2.60631
1/5/00,23:00,3.00925
1/6/00,0:00,3.14288
1/6/00,1:00,3.18492
1/6/00,2:00,3.13725
1/6/00,3:00,3.00403
1/6/00,4:00,2.68262
1/6/00,5:00,2.30999
1/6/00,6:00,2.04287
1/6/00,7:00,1.89302
1/6/00,8:00,1.87616
1/6/00,9:00,1.9967
1/6/00,10:00,2.33924
