Site,Date,Time,Discharge
1578310,10/7/19,9:15,4280
1578310,10/7/19,9:30,4280
1578310,10/7/19,9:45,4280
1578310,10/7/19,10:00,4280
1578310,10/7/19,10:15,4280
1578310,10/7/19,10:30,4280
1578310,10/7/19,10:45,4280
1578310,10/7/19,11:00,4280
1578310,10/7/19,11:15,4280
1578310,10/7/19,11:30,4280
1578310,10/7/19,11:45,4280
1578310,10/7/19,12:00,4280
1578310,10/7/19,12:15,4280
1578310,10/7/19,12:30,4280
1578310,10/7/19,12:45,4280
1578310,10/7/19,13:00,4280
1578310,10/7/19,13:15,4280
1578310,10/7/19,13:30,4280
1578310,10/7/19,13:45,4280
1578310,10/7/19,14:00,4280
1578310,10/7/19,14:15,4280
1578310,10/7/19,14:30,4280
1578310,10/7/19,14:45,4280
1578310,10/7/19,15:00,4280
1578310,10/7/19,15:15,4280
1578310,10/7/19,15:30,4280
1578310,10/7/19,15:45,4280
1578310,10/7/19,16:00,4280
1578310,10/7/19,16:15,4280
1578310,10/7/19,16:30,4280
1578310,10/7/19,16:45,4280
1578310,10/7/19,17:00,4280
1578310,10/7/19,17:15,4280
1578310,10/7/19,17:30,4280
1578310,10/7/19,17:45,4280
1578310,10/7/19,18:00,4280
1578310,10/7/19,18:15,4280
1578310,10/7/19,18:30,4280
1578310,10/7/19,18:45,4280
1578310,10/7/19,19:00,4280
1578310,10/7/19,19:15,4280
1578310,10/7/19,19:30,4280
1578310,10/7/19,19:45,4280
1578310,10/7/19,20:00,4280
1578310,10/7/19,20:15,4280
1578310,10/7/19,20:30,4280
1578310,10/7/19,20:45,4280
1578310,10/7/19,21:00,4280
1578310,10/7/19,21:15,4280
1578310,10/7/19,21:30,4280
1578310,10/7/19,21:45,4280
1578310,10/7/19,22:00,4280
1578310,10/7/19,22:15,4280
1578310,10/7/19,22:30,4280
1578310,10/7/19,22:45,4280
1578310,10/7/19,23:00,4280
1578310,10/7/19,23:15,4280
1578310,10/7/19,23:30,4280
1578310,10/7/19,23:45,4310
1578310,10/8/19,0:00,4310
1578310,10/8/19,0:15,4310
1578310,10/8/19,0:30,4310
1578310,10/8/19,0:45,4310
1578310,10/8/19,1:00,4310
1578310,10/8/19,1:15,4310
1578310,10/8/19,1:30,4280
1578310,10/8/19,1:45,4280
1578310,10/8/19,2:00,4280
1578310,10/8/19,2:15,4280
1578310,10/8/19,2:30,4280
1578310,10/8/19,2:45,4280
1578310,10/8/19,3:00,4280
1578310,10/8/19,3:15,4280
1578310,10/8/19,3:30,4280
1578310,10/8/19,3:45,4280
1578310,10/8/19,4:00,4280
1578310,10/8/19,4:15,4280
1578310,10/8/19,4:30,4280
1578310,10/8/19,4:45,4280
1578310,10/8/19,5:00,4280
1578310,10/8/19,5:15,4280
1578310,10/8/19,5:30,4280
1578310,10/8/19,5:45,4280
1578310,10/8/19,6:00,4280
1578310,10/8/19,6:15,4280
1578310,10/8/19,6:30,4280
1578310,10/8/19,6:45,4280
1578310,10/8/19,7:00,4280
1578310,10/8/19,7:15,4280
1578310,10/8/19,7:30,4280
