Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Parameter,MeasureValue,Unit,Latitude,Longitude
CB1.0,1/22/86,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/19/86,8:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/18/86,10:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/17/86,10:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/15/86,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/5/86,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/16/86,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/13/87,8:55:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/8/86,10:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/6/86,10:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/23/86,10:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/21/86,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/12/86,11:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/3/87,10:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/14/87,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/13/87,10:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/8/87,10:55:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/15/87,10:10:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/12/87,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/9/87,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/13/87,10:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/4/87,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/7/87,10:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/12/88,10:05:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/17/88,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/22/88,9:55:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/5/88,10:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/17/88,10:10:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/14/88,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/11/89,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/9/89,10:15:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/6/89,9:37:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/6/89,8:49:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/8/89,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/6/89,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/17/89,9:38:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/6/89,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/19/89,9:27:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/23/90,9:15:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/21/90,9:05:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/5/90,9:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/10/90,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/26/90,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/17/90,9:32:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/21/91,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/19/91,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/12/88,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/16/88,10:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/14/88,10:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/25/88,10:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/21/88,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/14/88,9:10:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/10/89,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/6/89,10:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/14/89,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/14/90,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/10/90,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/7/90,8:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/4/90,8:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/10/90,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/7/90,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/17/92,8:05:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/21/92,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/20/92,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/18/92,8:37:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/14/92,10:03:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/27/92,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/23/92,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/15/92,8:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/18/93,9:05:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/17/93,9:10:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/16/93,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/20/93,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/18/93,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/22/93,8:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/20/93,9:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/16/93,9:02:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/21/93,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/18/93,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/22/93,9:06:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/14/93,10:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/10/94,9:13:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/16/94,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/23/94,8:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/11/94,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/17/94,9:42:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/20/94,8:47:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/19/94,9:22:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/9/94,8:50:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/20/94,10:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/18/94,9:33:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/2/94,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/6/94,9:05:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/24/95,9:42:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/14/95,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/15/95,9:38:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/18/95,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/30/95,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/13/95,8:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,7/18/95,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,8/15/95,9:35:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,9/27/95,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,10/23/95,8:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,11/6/95,9:15:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,12/5/95,8:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,1/29/96,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,2/28/96,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/19/96,9:20:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/15/96,9:45:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,5/7/96,9:40:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,6/4/96,9:30:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,3/19/91,9:25:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
CB1.0,4/16/91,9:00:00,,,,0,SALINITY,0,PPT,39.65622,-76.17504
