# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-10-03 11:29:28 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01578310 SUSQUEHANNA RIVER AT CONOWINGO, MD
# -----------------------------------------------------------------------------------
#
# Data provided for site 01578310
#            TS   parameter     Description
#         69542       00060     Discharge, cubic feet per second
#         69543       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	69542_00060	69542_00060_cd	69543_00065	69543_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01578310	2016-10-01 00:00	EDT	4510	A	9.14	A
USGS	01578310	2016-10-01 00:15	EDT	4510	A	9.14	A
USGS	01578310	2016-10-01 00:30	EDT	4510	A	9.14	A
USGS	01578310	2016-10-01 00:45	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 01:00	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 01:15	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 01:30	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 01:45	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 02:00	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 02:15	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 02:30	EDT	4470	A	9.13	A
USGS	01578310	2016-10-01 02:45	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 03:00	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 03:15	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 03:30	EDT	4430	A	9.12	A
