"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2005/04/13","00:00","0.106","-","-"
"2005/04/13","01:00","0.116","-","-"
"2005/04/13","02:00","0.2","-","-"
"2005/04/13","03:00","0.329","-","-"
"2005/04/13","04:00","0.459","-","-"
"2005/04/13","05:00","0.543","-","-"
"2005/04/13","06:00","0.56","-","-"
"2005/04/13","07:00","0.51","-","-"
"2005/04/13","08:00","0.411","-","-"
"2005/04/13","09:00","0.292","-","-"
"2005/04/13","10:00","0.183","-","-"
"2005/04/13","11:00","0.113","-","-"
"2005/04/13","12:00","0.111","-","-"
"2005/04/13","13:00","0.192","-","0.407"
"2005/04/13","14:00","0.345","-","0.568"
"2005/04/13","15:00","0.531","-","0.736"
"2005/04/13","16:00","0.697","-","0.86"
"2005/04/13","17:00","0.796","-","0.922"
"2005/04/13","18:00","0.81","-","0.896"
"2005/04/13","19:00","0.75","-","0.816"
"2005/04/13","20:00","0.644","-","0.708"
"2005/04/13","21:00","0.516","-","0.587"
"2005/04/13","22:00","0.386","-","0.474"
"2005/04/13","23:00","0.267","-","0.369"
"2005/04/14","00:00","0.176","-","0.302"
"2005/04/14","01:00","0.134","-","0.269"
"2005/04/14","02:00","0.158","-","0.282"
"2005/04/14","03:00","0.241","-","0.368"
"2005/04/14","04:00","0.358","-","0.478"
"2005/04/14","05:00","0.467","-","0.583"
"2005/04/14","06:00","0.533","-","0.626"
"2005/04/14","07:00","0.535","-","0.589"
"2005/04/14","08:00","0.478","-","0.512"
"2005/04/14","09:00","0.38","-","0.416"
"2005/04/14","10:00","0.268","-","0.314"
"2005/04/14","11:00","0.172","-","0.244"
"2005/04/14","12:00","0.123","-","0.205"
"2005/04/14","13:00","0.145","-","0.242"
"2005/04/14","14:00","0.242","-","0.397"
"2005/04/14","15:00","0.398","-","0.583"
"2005/04/14","16:00","0.569","-","0.741"
"2005/04/14","17:00","0.709","-","0.876"
"2005/04/14","18:00","0.782","-","0.94"
"2005/04/14","19:00","0.777","-","0.937"
"2005/04/14","20:00","0.709","-","0.865"
"2005/04/14","21:00","0.604","-","0.755"
"2005/04/14","22:00","0.483","-","0.644"
"2005/04/14","23:00","0.365","-","0.543"
"2005/04/15","00:00","0.262","-","0.472"
"2005/04/15","01:00","0.189","-","0.398"
"2005/04/15","02:00","0.163","-","0.361"
"2005/04/15","03:00","0.193","-","0.365"
"2005/04/15","04:00","0.274","-","0.413"
"2005/04/15","05:00","0.378","-","0.493"
"2005/04/15","06:00","0.472","-","0.473"
"2005/04/15","07:00","0.524","-","0.44"
"2005/04/15","08:00","0.518","-","0.355"
"2005/04/15","09:00","0.459","-","0.257"
"2005/04/15","10:00","0.363","-","0.141"
"2005/04/15","11:00","0.259","-","0.042"
"2005/04/15","12:00","0.176","-","0.04"
"2005/04/15","13:00","0.144","-","0.011"
"2005/04/15","14:00","0.18","-","-0.005"
"2005/04/15","15:00","0.284","-","0.022"
"2005/04/15","16:00","0.432","-","0.114"
"2005/04/15","17:00","0.586","-","0.247"
"2005/04/15","18:00","0.704","-","0.336"
"2005/04/15","19:00","0.758","-","0.398"
"2005/04/15","20:00","0.742","-","0.427"
"2005/04/15","21:00","0.672","-","0.443"
"2005/04/15","22:00","0.571","-","0.426"
"2005/04/15","23:00","0.459","-","0.385"
"2005/04/16","00:00","0.352","-","0.353"
"2005/04/16","01:00","0.261","-","0.32"
"2005/04/16","02:00","0.201","-","0.349"
"2005/04/16","03:00","0.185","-","0.414"
"2005/04/16","04:00","0.219","-","0.467"
"2005/04/16","05:00","0.296","-","0.552"
"2005/04/16","06:00","0.392","-","0.622"
"2005/04/16","07:00","0.476","-","0.659"
"2005/04/16","08:00","0.52","-","0.637"
"2005/04/16","09:00","0.511","-","0.602"
"2005/04/16","10:00","0.453","-","0.547"
"2005/04/16","11:00","0.361","-","0.48"
"2005/04/16","12:00","0.265","-","0.405"
"2005/04/16","13:00","0.192","-","0.375"
"2005/04/16","14:00","0.17","-","0.396"
"2005/04/16","15:00","0.212","-","0.423"
"2005/04/16","16:00","0.312","-","0.512"
"2005/04/16","17:00","0.449","-","0.629"
"2005/04/16","18:00","0.586","-","0.745"
"2005/04/16","19:00","0.686","-","0.828"
"2005/04/16","20:00","0.729","-","0.882"
"2005/04/16","21:00","0.709","-","0.887"
"2005/04/16","22:00","0.642","-","0.848"
"2005/04/16","23:00","0.547","-","0.773"
"2005/04/17","00:00","0.442","-","0.674"
"2005/04/17","01:00","0.342","-","0.592"
"2005/04/17","02:00","0.259","-","0.537"
"2005/04/17","03:00","0.207","-","0.484"
"2005/04/17","04:00","0.197","-","0.441"
"2005/04/17","05:00","0.234","-","0.503"
"2005/04/17","06:00","0.31","-","0.558"
"2005/04/17","07:00","0.403","-","0.618"
"2005/04/17","08:00","0.484","-","0.654"
"2005/04/17","09:00","0.526","-","0.671"
"2005/04/17","10:00","0.517","-","0.64"
"2005/04/17","11:00","0.46","-","0.574"
"2005/04/17","12:00","0.373","-","0.492"
"2005/04/17","13:00","0.282","-","0.412"
"2005/04/17","14:00","0.216","-","0.347"
"2005/04/17","15:00","0.196","-","0.321"
"2005/04/17","16:00","0.234","-","0.371"
"2005/04/17","17:00","0.326","-","0.454"
"2005/04/17","18:00","0.449","-","0.582"
"2005/04/17","19:00","0.572","-","0.729"
"2005/04/17","20:00","0.663","-","0.836"
"2005/04/17","21:00","0.701","-","0.878"
"2005/04/17","22:00","0.682","-","0.809"
"2005/04/17","23:00","0.619","-","0.718"
"2005/04/18","00:00","0.528","-","0.595"
"2005/04/18","01:00","0.427","-","0.475"
"2005/04/18","02:00","0.331","-","0.36"
"2005/04/18","03:00","0.251","-","0.26"
"2005/04/18","04:00","0.202","-","0.2"
"2005/04/18","05:00","0.197","-","0.184"
"2005/04/18","06:00","0.241","-","0.218"
"2005/04/18","07:00","0.322","-","0.313"
"2005/04/18","08:00","0.42","-","0.431"
"2005/04/18","09:00","0.502","-","0.51"
"2005/04/18","10:00","0.545","-","0.543"
"2005/04/18","11:00","0.536","-","0.483"
"2005/04/18","12:00","0.48","-","0.43"
"2005/04/18","13:00","0.396","-","0.357"
"2005/04/18","14:00","0.306","-","0.27"
"2005/04/18","15:00","0.239","-","0.179"
"2005/04/18","16:00","0.214","-","0.064"
"2005/04/18","17:00","0.243","-","0.043"
"2005/04/18","18:00","0.324","-","0.116"
"2005/04/18","19:00","0.438","-","0.295"
"2005/04/18","20:00","0.553","-","0.419"
"2005/04/18","21:00","0.64","-","0.508"
"2005/04/18","22:00","0.678","-","0.53"
"2005/04/18","23:00","0.662","-","0.509"
"2005/04/19","00:00","0.601","-","0.43"
"2005/04/19","01:00","0.512","-","0.374"
"2005/04/19","02:00","0.411","-","0.271"
"2005/04/19","03:00","0.313","-","0.123"
"2005/04/19","04:00","0.233","-","0.01"
"2005/04/19","05:00","0.187","-","-0.059"
"2005/04/19","06:00","0.191","-","-0.039"
"2005/04/19","07:00","0.247","-","0.072"
"2005/04/19","08:00","0.342","-","0.216"
"2005/04/19","09:00","0.449","-","0.366"
