YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 21 19 10 311  6.6  9.3 99.00 99.00 99.00 999 1017.3  10.7 999.0 999.0 99.0 99.00
2014 03 21 19 20 294  6.1 11.2 99.00 99.00 99.00 999 1017.3  10.7 999.0 999.0 99.0 99.00
2014 03 21 19 30 282  4.9  8.0 99.00 99.00 99.00 999 1017.0  11.0 999.0 999.0 99.0 99.00
2014 03 21 19 40 278  3.9  7.4 99.00 99.00 99.00 999 1016.9  11.0 999.0 999.0 99.0 99.00
2014 03 21 19 50 258  2.9  5.1 99.00 99.00 99.00 999 1016.7  10.9 999.0 999.0 99.0 99.00
2014 03 21 20 00 285  4.2  7.6 99.00 99.00 99.00 999 1016.6  10.9   4.4 999.0 99.0 99.00
2014 03 21 20 10 265  5.4  8.1 99.00 99.00 99.00 999 1016.5  10.9 999.0 999.0 99.0 99.00
2014 03 21 20 20 253  5.6  7.6 99.00 99.00 99.00 999 1016.5  10.2 999.0 999.0 99.0 99.00
2014 03 21 20 30 246  5.9  8.4 99.00 99.00 99.00 999 1016.4  10.1 999.0 999.0 99.0 99.00
2014 03 21 20 40 267  4.9  7.1 99.00 99.00 99.00 999 1016.4  10.2 999.0 999.0 99.0 99.00
2014 03 21 20 50 275  5.6  7.7 99.00 99.00 99.00 999 1016.5  10.5 999.0 999.0 99.0 99.00
2014 03 21 21 00 262  5.6  8.4 99.00 99.00 99.00 999 1016.5  10.3   4.9 999.0 99.0 99.00
2014 03 21 21 10 254  4.9  7.3 99.00 99.00 99.00 999 1016.5   9.7 999.0 999.0 99.0 99.00
2014 03 21 21 20 240  4.2  4.9 99.00 99.00 99.00 999 1016.6   8.7 999.0 999.0 99.0 99.00
2014 03 21 21 30 232  4.0  4.8 99.00 99.00 99.00 999 1016.7   8.3 999.0 999.0 99.0 99.00
2014 03 21 21 40 228  3.9  4.6 99.00 99.00 99.00 999 1016.7   8.5 999.0 999.0 99.0 99.00
2014 03 21 21 50 252  3.9  5.4 99.00 99.00 99.00 999 1016.9   9.1 999.0 999.0 99.0 99.00
2014 03 21 22 00 248  4.1  5.0 99.00 99.00 99.00 999 1017.0   9.3   5.1 999.0 99.0 99.00
2014 03 21 22 10 255  3.4  4.1 99.00 99.00 99.00 999 1017.1   8.9 999.0 999.0 99.0 99.00
2014 03 21 22 20 263  3.6  5.2 99.00 99.00 99.00 999 1017.1   9.5 999.0 999.0 99.0 99.00
2014 03 21 22 30 255  3.3  3.8 99.00 99.00 99.00 999 1017.1   9.0 999.0 999.0 99.0 99.00
2014 03 21 22 40 249  3.1  3.9 99.00 99.00 99.00 999 1017.1   8.7 999.0 999.0 99.0 99.00
2014 03 21 22 50 234  3.7  4.9 99.00 99.00 99.00 999 1017.2   7.8 999.0 999.0 99.0 99.00
2014 03 21 23 00 230  2.7  4.2 99.00 99.00 99.00 999 1017.3   7.5   4.9 999.0 99.0 99.00
2014 03 21 23 10 195  1.4  2.4 99.00 99.00 99.00 999 1017.4   7.2 999.0 999.0 99.0 99.00
2014 03 21 23 20 133  2.5  3.3 99.00 99.00 99.00 999 1017.4   6.6 999.0 999.0 99.0 99.00
2014 03 21 23 30 175  2.9  4.1 99.00 99.00 99.00 999 1017.5   6.3 999.0 999.0 99.0 99.00
2014 03 21 23 40 200  3.6  4.8 99.00 99.00 99.00 999 1017.5   6.3 999.0 999.0 99.0 99.00
2014 03 21 23 50 209  4.0  5.1 99.00 99.00 99.00 999 1017.5   6.4 999.0 999.0 99.0 99.00
2014 03 22 00 00 218  3.7  4.4 99.00 99.00 99.00 999 1017.6   6.2   5.1 999.0 99.0 99.00
