YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
yr  mo dy hr   mn     m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2008 11 01 00 00     1.0 99.00 999.00 99.00 999.0 99.00   3.60     2 99.00 99.00
2008 11 01 01 00     1.0 99.00 999.00 99.00 999.0 99.00   3.30     3 99.00 99.00
2008 11 01 02 00     1.0 99.00 999.00 99.00 999.0 99.00   3.00     2 99.00 99.00
2008 11 01 03 00     1.0 99.00 999.00 99.00 999.0 99.00   3.50     2 99.00 99.00
2008 11 01 04 00     1.0 99.00 999.00 99.00 999.0 99.00   3.70     2 99.00 99.00
2008 11 01 05 00     1.0 99.00 999.00 99.00 999.0 99.00   3.60     2 99.00 99.00
2008 11 01 06 00     1.0 99.00 999.00 99.00 999.0 99.00   3.40     2 99.00 99.00
2008 11 01 07 00     1.0 99.00 999.00 99.00 999.0 99.00   3.40     2 99.00 99.00
2008 11 01 08 00     1.0 99.00 999.00 99.00 999.0 99.00   3.30     2 99.00 99.00
2008 11 01 09 00     1.0 99.00 999.00 99.00 999.0 99.00   3.40     2 99.00 99.00
2008 11 01 10 00     1.0 99.00 999.00 99.00 999.0 99.00   3.50     2 99.00 99.00
2008 11 01 11 00     1.0 99.00 999.00 99.00 999.0 99.00   3.60     2 99.00 99.00
2008 11 01 12 00     1.0 99.00 999.00 99.00 999.0 99.00   3.30     2 99.00 99.00
2008 11 01 13 00     1.0 99.00 999.00 99.00 999.0 99.00   3.20     2 99.00 99.00
2008 11 01 14 00     1.0 99.00 999.00 99.00 999.0 99.00   3.10     2 99.00 99.00
2008 11 01 15 00     1.0 99.00 999.00 99.00 999.0 99.00   2.60     2 99.00 99.00
2008 11 01 16 00     1.0 99.00 999.00 99.00 999.0 99.00   2.40     2 99.00 99.00
2008 11 01 17 00     1.0 99.00 999.00 99.00 999.0 99.00   2.80     2 99.00 99.00
2008 11 01 18 00     1.0 99.00 999.00 99.00 999.0 99.00   2.70     2 99.00 99.00
2008 11 01 19 00     1.0 99.00 999.00 99.00 999.0 99.00   3.00     2 99.00 99.00
2008 11 01 20 00     1.0 99.00 999.00 99.00 999.0 99.00   3.50     2 99.00 99.00
2008 11 01 21 00     1.0 99.00 999.00 99.00 999.0 99.00   3.70     2 99.00 99.00
2008 11 01 22 00     1.0 99.00 999.00 99.00 999.0 99.00   4.40     2 99.00 99.00
2008 11 01 23 00     1.0 99.00 999.00 99.00 999.0 99.00   4.80     2 99.00 99.00
2008 11 02 00 00     1.0 99.00 999.00 99.00 999.0 99.00   4.50     2 99.00 99.00
2008 11 02 01 00     1.0 99.00 999.00 99.00 999.0 99.00   4.20     1 99.00 99.00
2008 11 02 02 00     1.0 99.00 999.00 99.00 999.0 99.00   4.00     2 99.00 99.00
2008 11 02 03 00     1.0 99.00 999.00 99.00 999.0 99.00   3.60     2 99.00 99.00
2008 11 02 04 00     1.0 99.00 999.00 99.00 999.0 99.00   3.60     2 99.00 99.00
2008 11 02 05 00     1.0 99.00 999.00 99.00 999.0 99.00   3.40     2 99.00 99.00
2008 11 02 06 00     1.0 99.00 999.00 99.00 999.0 99.00   3.10     4 99.00 99.00
2008 11 02 07 00     1.0 99.00 999.00 99.00 999.0 99.00   3.10     3 99.00 99.00
2008 11 02 08 00     1.0 99.00 999.00 99.00 999.0 99.00   3.20     2 99.00 99.00
2008 11 02 09 00     1.0 99.00 999.00 99.00 999.0 99.00   3.10     2 99.00 99.00
