"","Day","Date","flow","Discharge","Discharge_log"
"1",1,"01-01",3500,99.05,1.9959
"2",2,"01-02",3500,99.05,1.9959
"3",3,"01-03",3500,99.05,1.9959
"4",4,"01-04",3500,99.05,1.9959
"5",5,"01-05",3500,99.05,1.9959
"6",6,"01-06",3500,99.05,1.9959
"7",7,"01-07",3500,99.05,1.9959
"8",8,"01-08",3500,99.05,1.9959
"9",9,"01-09",3500,99.05,1.9959
"10",10,"01-10",3500,99.05,1.9959
"11",11,"01-11",3500,99.05,1.9959
"12",12,"01-12",3500,99.05,1.9959
"13",13,"01-13",3500,99.05,1.9959
"14",14,"01-14",3500,99.05,1.9959
"15",15,"01-15",3500,99.05,1.9959
"16",16,"01-16",3500,99.05,1.9959
"17",17,"01-17",3500,99.05,1.9959
"18",18,"01-18",3500,99.05,1.9959
"19",19,"01-19",3500,99.05,1.9959
"20",20,"01-20",3500,99.05,1.9959
"21",21,"01-21",3500,99.05,1.9959
"22",22,"01-22",3500,99.05,1.9959
"23",23,"01-23",3500,99.05,1.9959
"24",24,"01-24",3500,99.05,1.9959
"25",25,"01-25",3500,99.05,1.9959
"26",26,"01-26",3500,99.05,1.9959
"27",27,"01-27",3500,99.05,1.9959
"28",28,"01-28",3500,99.05,1.9959
"29",29,"01-29",3500,99.05,1.9959
"30",30,"01-30",3500,99.05,1.9959
"31",31,"01-31",3500,99.05,1.9959
"32",32,"02-01",3500,99.05,1.9959
"33",33,"02-02",3500,99.05,1.9959
"34",34,"02-03",3500,99.05,1.9959
"35",35,"02-04",3500,99.05,1.9959
"36",36,"02-05",3500,99.05,1.9959
"37",37,"02-06",3500,99.05,1.9959
"38",38,"02-07",3500,99.05,1.9959
"39",39,"02-08",3500,99.05,1.9959
"40",40,"02-09",3500,99.05,1.9959
"41",41,"02-10",3500,99.05,1.9959
"42",42,"02-11",3500,99.05,1.9959
"43",43,"02-12",3500,99.05,1.9959
"44",44,"02-13",3500,99.05,1.9959
"45",45,"02-14",3500,99.05,1.9959
"46",46,"02-15",3500,99.05,1.9959
"47",47,"02-16",3500,99.05,1.9959
"48",48,"02-17",3500,99.05,1.9959
"49",49,"02-18",3500,99.05,1.9959
"50",50,"02-19",3500,99.05,1.9959
"51",51,"02-20",3500,99.05,1.9959
"52",52,"02-21",3500,99.05,1.9959
"53",53,"02-22",3500,99.05,1.9959
"54",54,"02-23",3500,99.05,1.9959
"55",55,"02-24",3500,99.05,1.9959
"56",56,"02-25",3500,99.05,1.9959
"57",57,"02-26",3500,99.05,1.9959
"58",58,"02-27",3500,99.05,1.9959
"59",59,"02-28",3500,99.05,1.9959
"60",60,"03-01",3500,99.05,1.9959
"61",61,"03-02",3500,99.05,1.9959
"62",62,"03-03",3500,99.05,1.9959
"63",63,"03-04",3500,99.05,1.9959
"64",64,"03-05",3500,99.05,1.9959
"65",65,"03-06",3500,99.05,1.9959
"66",66,"03-07",3500,99.05,1.9959
"67",67,"03-08",3500,99.05,1.9959
"68",68,"03-09",3500,99.05,1.9959
"69",69,"03-10",3500,99.05,1.9959
"70",70,"03-11",3500,99.05,1.9959
"71",71,"03-12",3500,99.05,1.9959
"72",72,"03-13",3500,99.05,1.9959
"73",73,"03-14",3500,99.05,1.9959
"74",74,"03-15",3500,99.05,1.9959
"75",75,"03-16",3500,99.05,1.9959
"76",76,"03-17",3500,99.05,1.9959
"77",77,"03-18",3500,99.05,1.9959
"78",78,"03-19",3500,99.05,1.9959
"79",79,"03-20",3500,99.05,1.9959
"80",80,"03-21",3500,99.05,1.9959
"81",81,"03-22",3500,99.05,1.9959
"82",82,"03-23",3500,99.05,1.9959
"83",83,"03-24",3500,99.05,1.9959
"84",84,"03-25",3500,99.05,1.9959
"85",85,"03-26",3500,99.05,1.9959
"86",86,"03-27",3500,99.05,1.9959
