"","DateTime","Tide_HdG"
"1",2005-04-13,NA
"2",2005-04-13 01:00:00,NA
"3",2005-04-13 02:00:00,NA
"4",2005-04-13 03:00:00,NA
"5",2005-04-13 04:00:00,NA
"6",2005-04-13 05:00:00,NA
"7",2005-04-13 06:00:00,NA
"8",2005-04-13 07:00:00,NA
"9",2005-04-13 08:00:00,NA
"10",2005-04-13 09:00:00,NA
"11",2005-04-13 10:00:00,NA
"12",2005-04-13 11:00:00,NA
"13",2005-04-13 12:00:00,NA
"14",2005-04-13 13:00:00,0.407
"15",2005-04-13 14:00:00,0.568
"16",2005-04-13 15:00:00,0.736
"17",2005-04-13 16:00:00,0.86
"18",2005-04-13 17:00:00,0.922
"19",2005-04-13 18:00:00,0.896
"20",2005-04-13 19:00:00,0.816
"21",2005-04-13 20:00:00,0.708
"22",2005-04-13 21:00:00,0.587
"23",2005-04-13 22:00:00,0.474
"24",2005-04-13 23:00:00,0.369
"25",2005-04-14,0.302
"26",2005-04-14 01:00:00,0.269
"27",2005-04-14 02:00:00,0.282
"28",2005-04-14 03:00:00,0.368
"29",2005-04-14 04:00:00,0.478
"30",2005-04-14 05:00:00,0.583
"31",2005-04-14 06:00:00,0.626
"32",2005-04-14 07:00:00,0.589
"33",2005-04-14 08:00:00,0.512
"34",2005-04-14 09:00:00,0.416
"35",2005-04-14 10:00:00,0.314
"36",2005-04-14 11:00:00,0.244
"37",2005-04-14 12:00:00,0.205
"38",2005-04-14 13:00:00,0.242
"39",2005-04-14 14:00:00,0.397
"40",2005-04-14 15:00:00,0.583
"41",2005-04-14 16:00:00,0.741
"42",2005-04-14 17:00:00,0.876
"43",2005-04-14 18:00:00,0.94
"44",2005-04-14 19:00:00,0.937
"45",2005-04-14 20:00:00,0.865
"46",2005-04-14 21:00:00,0.755
"47",2005-04-14 22:00:00,0.644
"48",2005-04-14 23:00:00,0.543
"49",2005-04-15,0.472
"50",2005-04-15 01:00:00,0.398
"51",2005-04-15 02:00:00,0.361
"52",2005-04-15 03:00:00,0.365
"53",2005-04-15 04:00:00,0.413
"54",2005-04-15 05:00:00,0.493
"55",2005-04-15 06:00:00,0.473
"56",2005-04-15 07:00:00,0.44
"57",2005-04-15 08:00:00,0.355
"58",2005-04-15 09:00:00,0.257
"59",2005-04-15 10:00:00,0.141
"60",2005-04-15 11:00:00,0.042
"61",2005-04-15 12:00:00,0.04
"62",2005-04-15 13:00:00,0.011
"63",2005-04-15 14:00:00,-0.005
"64",2005-04-15 15:00:00,0.022
"65",2005-04-15 16:00:00,0.114
"66",2005-04-15 17:00:00,0.247
"67",2005-04-15 18:00:00,0.336
"68",2005-04-15 19:00:00,0.398
"69",2005-04-15 20:00:00,0.427
